name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
Ceres,2.7691652,0.0760091,10.59407,80.30553,3.34,737.0201327910922,2.761154348432943,77.37215,0.6037202475437377,2.6947357808277292
Brettperkins,2.9242096,0.2575845,7.63137,64.00339,15.1,3.2770219579315416,2.8255344173035315,329.14072,2.487085324172216,-1.4860901932267276
Tankanran,2.2812238,0.1962614,5.41902,187.42639,15.7,2.485875370165096,2.2368576733458907,49.39522,1.467855032110594,1.7122867265161001
Westerbork,2.3560347,0.2070737,1.75983,213.90454,15.7,2.485875370165096,2.30496846323684,279.1877,0.36823396044014384,-2.2766417523662263
Minnesang,2.4172675,0.1444159,1.09324,176.8507,15.6,2.6030310669964694,2.3919274735563234,295.57529,1.0345999532002825,-2.1617687493223534
Agamemnon,5.2775387,0.0660081,21.76344,338.00536,7.89,90.67328528328751,5.266028848174362,268.86101,-0.10467724454338218,-5.264992900859952
Telesio,2.254145,0.1554186,4.95438,41.78804,14.9,3.5931831251543818,2.226754213203763,261.2288,-0.339651099414724,-2.20133097012137
Saragamine,2.6638004,0.1609695,8.50835,339.20237,13.0,8.619445964685667,2.6290627943312823,211.98339,-2.2510559464372455,-1.4057086481616916
Yorii,3.0667569,0.2480118,5.50551,112.01111,13.0,8.619445964685667,2.970942249014192,312.82004,2.048661266366823,-2.2108013285039623
Ulissedini,2.9065581,0.1022259,2.22093,176.47331,13.1,8.231506991887196,2.891331253146567,316.46872,2.101991604739243,-1.996897658083212
Yushihomma,2.4161612,0.1737925,2.08106,133.82314,15.0,3.4314632447397715,2.3793927696610493,278.22953,0.34068943205312635,-2.355620173252453
Simonrodriguez,3.1222615,0.2011505,18.24638,131.28565,15.2,3.1295316740540717,3.0584435630422497,270.68809,0.03672940664267514,-3.0582319342379685
Huangshan,1.9424393,0.0638004,19.72254,10.43238,14.9,3.5931831251543818,1.9384819278982846,207.65982,-1.7196989784023677,-0.9013243225834374
Vladvysotskij,3.0866455,0.2136076,15.06558,347.31055,11.7,15.684813222680875,3.0154043108315847,67.24652,1.170259417695148,2.7902767257808985
Nikulin,2.4411702,0.1318577,5.70902,165.74329,13.1,8.231506991887196,2.4198555014760337,298.60763,1.1609641452822226,-2.1286843399369486
Piso,2.2369647,0.1092291,4.35594,200.47014,15.2,3.1295316740540717,2.223580048381921,76.61689,0.5148369231521793,2.1638885296820307
Feliceierman,3.1471747,0.0613582,21.12406,206.67517,12.8,9.451034563112186,3.141244826669019,230.36727,-2.005223498274665,-2.4210815481720314
Ezaki,2.7361253,0.1107871,4.44916,180.00877,14.0,5.438502736768584,2.7192821560873495,32.31784,2.3081916776090328,1.4601843201743048
Tooting,2.748222,0.1536573,14.02453,280.64249,12.3,11.898147579246919,2.715584664520294,303.72369,1.5131772049837304,-2.2668824524331246
Walford,2.6586386,0.2064667,11.90024,32.10908,13.5,6.846669297430097,2.601354583228198,225.18352,-1.8532632244327032,-1.865173523086609
Vrindamadan,2.2665618,0.156834,8.11762,131.75472,14.9,3.5931831251543818,2.2385130470281425,167.90123,-2.21498976787643,0.474802925573907
Lucastrabla,3.165087,0.1397744,1.11457,162.33094,14.6,4.1255262178474945,3.1340165293920954,235.27277,-1.7910425812912185,-2.5839692619086776
