#g,r,i,z
#row1 = min, row2 = max, row3 = avg
1.0,2.6551839999999998,2.582336,2.512
1.0,2.630064,2.831024,2.512
1.0,2.61248,2.622528,2.471808
1.0,2.559728,2.582336,2.6476480000000002
1.0,2.527072,2.5898719999999997,2.6200159999999997
1.0,2.47432,2.627552,2.491904
1.0,2.607456,2.680304,2.24824
1.0,2.720496,2.85112,2.758176
1.0,2.6049439999999997,2.85112,2.831024
1.0,2.702912,2.680304,2.6551839999999998
1.0,2.758176,2.66272,2.609968
1.0,2.489392,2.630064,2.4215679999999997
1.0,2.695376,2.931504,2.891312
1.0,2.434128,2.8687039999999997,2.8988479999999996
1.0,2.680304,2.858656,2.753152
1.0,2.630064,2.936528,2.702912
1.0,2.496928,2.572288,2.466784
1.0,2.607456,2.805904,2.582336
1.0,2.4793439999999998,2.665232,2.743104
1.0,2.501952,2.609968,2.416544
1.0,2.582336,2.6551839999999998,2.6828160000000003
1.0,2.534608,2.7280320000000002,3.0772000000000004
1.0,2.773248,2.87624,2.8084160000000002
1.0,2.645136,2.740592,2.6175040000000003
1.0,2.5396319999999997,2.5396319999999997,2.409008
1.0,2.582336,2.780784,2.753152
1.0,2.5848479999999996,3.0118880000000003,2.831024
