name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
C/2013 V4 (Catalina),23046.26666666352,0.999775,67.8594,55.637,6.0,216.51069365823926,488.85764266820587,160.9081171149146,-1409.7388533597991,487.9421910122105
P/2007 VQ11 (Catalina),5.419080945198592,0.50275,12.3229,163.8238,12.0,13.66090123221672,4.684426211284802,278.8299235335444,0.7212193578484729,-4.642754061309568
C/2016 T3 (PANSTARRS),139.16701669641915,0.980954,22.6769,271.7432,10.5,27.257081417153973,27.031827217737213,61.61706051493046,14.52587451125538,26.884173264785296
P/2014 A3 (PANSTARRS),4.647298969671275,0.242863,13.6943,230.4486,12.0,13.66090123221672,4.508161616260019,3.908699486788474,4.635814026324564,0.31674525060128855
P/2019 A3 (PANSTARRS),3.1473574512026055,0.264971,15.3664,31.3338,9.0,54.38502736768587,3.034859507013185,316.4560558467888,2.241538127212704,-2.130410022177065
C/2009 O4 (Hill),9039.091549297336,0.999716,95.8206,173.0008,10.0,34.31463244739771,215.41111850619734,71.62887073758338,71.53496682270296,215.40437272717642
C/2010 U3 (Boattini),5679.565568258176,0.998513,55.5118,43.0683,1.0,2165.1069365823937,309.616495578902,350.5640248279578,1770.1834907546613,-294.1940289312803
P/2013 A2 (Scotti),4.010209337236221,0.454421,3.3628,355.8246,15.5,2.7257081417153968,3.5722425145867147,305.63688210921384,2.158380939005441,-3.010698203328285
P/2014 L3 (Hill),8.158370940722502,0.773759,6.2736,115.4878,16.0,2.1651069365823927,5.168165464364329,242.17850531838369,-2.5866335556889064,-4.901529061123647
P/2010 H3 (SOHO),3.068385576860156,0.984719,23.8147,78.2508,20.0,0.34314632447397714,0.5343617139275956,45.49142845139394,0.5177413841221687,0.5266998225236486
P/2007 B1 (Christensen),5.81225311527966,0.580776,12.3778,77.6639,13.5,6.846669297430097,4.731542599101179,3.57780553737014,5.795184437025537,0.36234840959750103
P/2009 B1 (Boattini),6.7306012259199175,0.634397,22.2209,297.0876,13.0,8.619445964685667,5.202804579928688,214.76177245299064,-5.008217295606345,-3.475848432255789
C/2015 Y1 (LINEAR),269.2446489726022,0.990656,71.1933,135.7984,12.0,13.66090123221672,36.72075519647464,23.928055552722945,79.1034645003696,35.100180713778755
C/2016 A8 (LINEAR),34.39656779428695,0.945283,148.2446,111.354,12.0,13.66090123221672,11.221932294182109,307.5481141843231,8.366794139438122,-10.884880137678863
C/2016 K1 (LINEAR),7416.967637540365,0.999691,90.8707,325.666,13.0,8.619445964685667,184.36864749276234,322.5588639512966,240.6589164246135,-184.27156910107004
P/2019 A1 (PANSTARRS),5.1288590105998875,0.568769,13.7439,312.2995,16.0,2.1651069365823927,4.218472738595454,101.35027095453171,-0.8354733939456614,4.162127255306381
C/2011 L2 (McNaught),6439.999999998869,0.999697,104.5096,131.5311,12.5,10.851239560529478,158.521903692376,149.67043327778816,-270.7171343361045,158.38178017700352
P/2007 Q2 (Gilmore),5.641643261192968,0.669949,10.2065,172.2319,16.0,2.1651069365823927,4.188396146781997,15.268387462113058,5.295050752040313,1.4454222887779817
