name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos
K15VG4M,39.0644441,0.2499455,18.32033,54.14561,9.9,35.931831251543834,37.82453500171298,18.03136,37.027865483061305,12.053493056541798
K13F28N,35.6378785,0.4296621,8.65252,299.315,8.3,75.07223600835081,32.18063882395822,2.86169,35.58339788126685,1.7787245945135095
K15RO5Y,228.0023061,0.8628739,6.02585,341.48277,8.9,56.948114743233305,115.23675780172877,1.79195,227.56674450681027,7.119568718701704
l1136,25.3558103,0.4471992,11.35331,315.64131,9.5,43.19956278440564,22.679108683267128,10.6148,24.816887821882883,4.650989570855876
q3767,76.4828146,0.5724035,18.64854,269.55656,6.6,164.24015696315365,62.713773560913836,4.53527,76.12744653026935,6.038514884977224
q3712,48.4553051,0.1742396,15.05945,125.90827,5.8,237.39925482809605,47.71409816428689,359.90765,48.455240187404215,-0.07810078411462969
K15RR7C,46.408757,0.16263,24.33451,194.91221,8.0,86.19445964685667,45.79092302995365,38.8524,35.94983827631587,28.95858390294386
K13F28H,43.3962938,0.1447991,13.09887,322.90913,6.5,171.98055709247893,42.9389435516224,299.79314,21.39050888137937,-37.36030559520766
K10GE7W,167.4749654,0.9678317,99.83505,313.28425,13.2,7.861028149035883,42.136448508896315,1.67742,166.3519007302645,4.871593660128156
B8702,98.861549,0.6041743,23.33103,327.0402,6.8,149.7888034079121,78.77804198325032,11.12918,95.97999718009837,18.881294756801257
K03YH9R,43.2752046,0.0492975,9.84393,104.4742,7.1,130.4605939513808,43.2225879702679,356.8241,43.20857908205343,-2.39750365033785
K15VH0O,43.7395808,0.0436248,2.91173,109.71192,8.0,86.19445964685667,43.697940073763625,141.94085,-34.426970027259564,26.954578720029293
55576,25.218262,0.3951125,13.32232,315.54887,7.8,94.51034563112196,23.166321137543427,45.90118,16.767686417124406,17.303623187008256
K00QP1N,42.0868288,0.1228461,0.33839,42.9745,7.4,113.62642725569708,41.76805192560339,21.66628,39.072613278166365,15.522250725927416
K04TZ7X,36.3663659,0.2064709,16.27391,36.41925,8.2,78.61028149035887,35.582770415185834,7.70132,36.023944778291195,4.871473534658124
K09K30L,45.9494271,0.1912655,23.06313,255.45542,7.5,108.51239560529478,45.101124297158236,172.67556,-45.56042996394675,5.856179874572434
j9865,13.4471909,0.3736954,22.53374,266.69831,9.5,43.19956278440564,12.47296182091028,345.24842,12.936066590744256,-3.406163564788614
K00F53S,43.34599,0.0363406,2.09145,26.05816,7.8,94.51034563112196,43.317358336893115,61.53423,20.649608376616413,38.08609111069456
K03G55F,45.7906226,0.0477345,5.94644,163.48545,6.6,164.24015696315365,45.73842399289738,125.45503,-26.5413803257032,37.27148636029462
D1695,37.1125766,0.0487964,4.26797,94.7965,7.7,98.96448099650542,37.06836609952293,32.99115,31.11733922175444,20.20100360184038
K15VH3R,43.3849439,0.0324083,4.21516,97.04713,8.7,62.44236612741562,43.36215435654775,155.40839,-39.44621075671233,18.052898787884722
K14UM5C,35.0731196,0.1073957,4.93883,139.57102,7.6,103.62853329448156,34.87026918137718,359.63165,35.07238634163906,-0.22548068296859206
33340,39.0097114,0.2473962,3.03921,127.95138,6.5,171.98055709247893,37.797071230012506,7.96421,38.609301698681506,5.401591853600071
K14X40U,39.2230889,0.1728451,4.77759,258.38017,6.8,149.7888034079121,38.632742961621105,323.69112,31.43812290984722,-23.101099605075742
K15DO9W,42.8983179,0.1535033,14.83237,212.93223,7.7,98.96448099650542,42.38989283154067,359.2792,42.89484139005349,-0.5396598693411434
K02GG6H,39.5694402,0.2014869,8.65733,10.78431,7.0,136.60901232216727,38.75791883347676,358.95636,39.56259843091348,-0.7207106273186316
K15G50R,53.934129,0.2921069,4.50535,22.31219,6.6,164.24015696315365,51.58182835868985,150.98089,-46.65382609879045,25.880983532996073
K01U18P,47.6272734,0.081365,1.17089,105.59158,5.9,226.71452828784518,47.469359064080265,147.42342,-40.09548200705108,25.61904415418584
h4390,55.1487574,0.3174063,5.14262,122.84632,8.2,78.61028149035887,52.2969952835261,11.86427,53.84329770485,11.311498975892267
K15KH4A,43.9614855,0.1201644,13.62361,80.78197,7.6,103.62853329448156,43.642940851871685,85.61183,3.339400575342154,43.516844017937125
K11Uf1J,42.1180727,0.1151592,5.14387,21.60304,8.4,71.69342880402648,41.837863202757426,355.03819,41.95812894926628,-3.6426813760479693
K15Bp8W,44.7965985,0.1510146,9.24559,35.81658,6.4,180.08575104123221,44.282850162367836,4.02682,44.68343747148169,3.1455894904411825
o6439,38.5479125,0.0316831,3.82467,135.53775,6.7,156.84813222680864,38.52856008207252,109.69487,-12.985287351255248,36.27673518954456
J97G45A,47.4087446,0.1748705,7.75394,177.05572,8.6,65.38518417986339,46.678244222849315,47.01525,32.05404066699616,34.3920981815321
K14UM8Y,43.2190356,0.0496978,2.55509,327.64545,8.0,86.19445964685667,43.165629874937935,10.76981,42.45593369516648,8.075720104710028
l0308,39.709163,0.0217816,18.10801,64.58112,4.5,431.99562784405657,39.699742112565886,189.7199,-39.13886881878448,-6.704121112480071
K15Ta7G,52.081915,0.2759465,9.45484,266.77526,7.3,118.98147579246931,50.05973030230039,104.94805,-12.945398579062065,48.488701094351846
K15G57J,43.5416582,0.0289867,1.32829,82.04531,7.5,108.51239560529478,43.52336187881188,81.99284,6.0627166021462795,43.09938956101934
q3629,40.923559,0.1190757,19.49396,141.12786,5.9,226.71452828784518,40.63239518225153,4.12573,40.81598934781201,2.944150636442399
K15G55O,42.6445981,0.1265566,8.37496,43.80847,8.3,75.07223600835081,42.3017094232189,314.30232,29.661490244482476,-30.392796213151833
