name,semimajor_axis,eccentricity,inclination,long_ascend_node,abs_mag,size,semiminor_axis,anomaly,x0_pos,y0_pos,gmag,rmag,imag,zmag
1999 TL12,1.0815491,0.4365194,17.33693,202.34129,19.1,0.5193729792671287,0.9730641494660883,328.67286,0.8958100455106182,-0.5452424060339058,1.0,2.866192,2.886288,2.409008
1999 TX16,1.5512424,0.3323471,38.22371,54.66506,16.2,1.9746009945278102,1.4630653572634527,68.23817,0.5465955380057733,1.3692310653423794,1.0,3.30328,3.559504,3.6223039999999997
1999 VL12,1.5937806,0.2362793,20.18421,234.41446,17.2,1.2458889999152165,1.5486529919469827,3.94448,1.58978281958495,0.10962050557100202,1.0,2.911408,3.2404800000000002,3.2128479999999997
1999 VS6,1.1977665,0.2231014,27.97233,35.31088,19.0,0.5438502736768585,1.1675770861437542,245.07489,-0.49424531330233457,-1.0635396533535113,1.0,5.883104,6.377968,5.260128
1999 YT,1.7762659,0.3521263,31.58418,116.42794,16.9,1.4304719672357855,1.6625004970468467,101.46194,-0.33117880210827816,1.6333486994147552,1.0,2.9516,3.5368959999999996,2.923968
2000 CN101,1.59807,0.6348822,15.97224,183.39205,14.6,4.1255262178474945,1.2346831873151713,49.97874,0.8697837325786524,1.0357871148248452,1.0,3.024448,3.35352,3.0922720000000004
2000 DN8,1.8754301,0.398783,36.94163,135.21815,15.9,2.2671452828784515,1.7198543961687134,247.43872,-0.6677206189261801,-1.6071561937327516,1.0,3.037008,3.383664,3.2279199999999997
2000 EA107,0.9297584,0.4557259,28.57906,52.89694,16.1,2.067661072379766,0.8275966982922863,298.50175,0.4046001465892061,-0.7451264965492488,1.0,2.928992,3.087248,2.6853279999999997
2000 EU70,2.2172065,0.767227,13.01607,165.32575,18.8,0.5963199670531791,1.4220622705929744,305.8769,0.9330269320775552,-1.2900208122821413,1.0,2.7330560000000004,2.7782720000000003,2.597408
2000 FK10,1.3590376,0.4815772,13.94233,41.68667,19.2,0.4959973445799733,1.1910655462399484,322.42791,1.0213494699354682,-0.7857526937637862,1.0,2.577312,2.911408,2.652672
2000 FO10,0.859351,0.5946277,14.28889,208.34226,17.6,1.0362853329448145,0.6909192185425845,140.01525,-0.5947046884381577,0.49874680787733505,1.0,3.157584,3.237968,2.710448
2000 GJ147,1.1621478,0.2366618,25.00722,57.87142,19.6,0.41255262178474905,1.129133611727072,0.75481,1.1620409723149965,0.01530952016575456,1.0,2.77576,3.124928,3.3057920000000003
2000 GP82,1.3962719,0.3934307,13.22973,114.88145,17.7,0.9896448099650541,1.283668541342457,267.86607,-0.04780316302627172,-1.2829160119073972,1.0,3.019424,3.597184,3.40376
2000 HZ23,1.5755872,0.2113492,15.10763,64.0679,19.9,0.35931831251543855,1.539995658445945,188.43693,-1.5577523774079456,-0.23105489916725921,1.0,3.288208,3.991568,3.675056
2000 JQ3,2.4639766,0.4856501,7.7691,54.70973,18.2,0.7861028149035884,2.1538932597617015,309.20303,1.4304740592261262,-1.7537451193600468,1.0,2.7632000000000003,2.7506399999999998,2.381376
2000 KL33,2.1126995,0.4301258,6.92194,134.06686,19.7,0.39398469514814133,1.907279531618454,38.88443,1.575590058829106,1.27063412920863,1.0,2.702912,3.170144,2.579824
2000 NG11,1.8808657,0.3677978,0.80794,59.53178,17.0,1.366090123221672,1.7490279046824877,73.308,0.5051945733015437,1.684755830128562,1.0,2.657696,2.657696,2.8812640000000003
2000 PH6,2.6859691,0.5185378,10.50086,152.32905,17.8,0.9451034563112187,2.296650518683313,71.94122,0.7213243628760341,2.2122830205253976,1.0,2.522048,2.609968,2.6024320000000003
2000 PJ6,1.3010692,0.3460611,14.69216,332.88881,18.3,0.750722360083508,1.2206787072337064,318.20722,0.9419824345392842,-0.8420159303133266,1.0,2.29848,2.642624,2.494416
2000 QJ1,1.5902002,0.5122591,7.69209,191.46734,16.4,1.800857510412324,1.3657131612222224,229.75993,-0.9349118000776903,-1.1047506197003836,1.0,2.8888,3.210336,2.7933440000000003
2000 RJ34,2.6378721,0.5740715,13.85589,331.27767,15.7,2.485875370165096,2.159903323699093,79.69208,0.3885446615578633,2.1363444933547013,1.0,2.544656,2.471808,2.446688
2000 RL77,2.559298,0.5349558,30.17142,194.71769,16.8,1.4978880340791203,2.1622998118425993,184.23215,-2.549537561379051,-0.18866471449075203,1.0,2.8486079999999996,3.1224160000000003,2.6376
2000 RW37,1.2475745,0.25019,13.74638,333.31941,19.9,0.35931831251543855,1.2078975873576403,37.5174,0.9775064232828995,0.7505388119467814,1.0,2.768224,2.753152,2.33616
2000 SE45,2.7404984,0.5610926,8.333,302.97672,16.4,1.800857510412324,2.2684558800531276,7.50711,2.7064161894085763,0.35664812451935407,1.0,2.8134400000000004,3.06464,2.680304
2000 SF8,1.6490292,0.3451118,17.44177,351.25342,20.3,0.29886795464408883,1.5477154567318112,291.25747,0.5655838448923634,-1.4538352906333125,1.0,3.104832,3.348496,2.87624
2000 SL,1.5400388,0.3948299,38.35272,207.75325,18.1,0.8231506991887187,1.414917174371358,298.43389,0.6859353084807128,-1.2668192623691612,1.0,3.00184,3.310816,2.9516
2000 SL10,1.3721121,0.3387149,1.46394,208.74131,21.9,0.14304719672357855,1.2910052590912047,242.12176,-0.6113833409063841,-1.1557634016353107,1.0,2.906384,3.034496,2.56224
2000 TL1,1.3380986,0.3002015,3.60656,27.21065,23.5,0.06846669297430096,1.2763798848789727,35.76143,1.0678976949767303,0.7690998236495319,1.0,2.517024,2.4215679999999997,2.426592
