#g,r,i,z
#row1 = min, row2 = max, row3 = avg
1.0,2.9340159999999997,3.0470560000000004,2.843584
1.0,3.059616,3.2781599999999997,2.921456
1.0,3.037008,3.376128,3.172656
1.0,3.1073440000000003,3.30328,3.180192
1.0,3.024448,3.25304,3.157584
1.0,3.06464,3.260576,2.6325760000000002
1.0,2.936528,2.9641599999999997,2.6551839999999998
1.0,2.803392,3.5368959999999996,3.2580639999999996
1.0,3.006864,3.3083039999999997,2.9465760000000003
1.0,3.069664,3.40376,3.037008
1.0,2.941552,3.2128479999999997,2.710448
1.0,2.911408,3.280672,2.831024
1.0,3.05208,3.21536,2.660208
1.0,3.40376,3.6650080000000003,3.0470560000000004
1.0,3.220384,3.531872,3.250528
1.0,2.941552,3.2429919999999997,2.785808
1.0,2.981744,3.2028,2.843584
1.0,3.1224160000000003,3.486656,3.157584
1.0,3.104832,3.40376,3.1626079999999996
1.0,3.1425119999999995,3.5695520000000003,3.285696
1.0,3.0772000000000004,3.0470560000000004,2.582336
1.0,3.2404800000000002,3.752928,3.464048
1.0,3.0621280000000004,3.195264,2.768224
1.0,3.067152,3.129952,2.559728
1.0,2.98928,3.423856,3.0143999999999997
1.0,2.931504,3.310816,2.790832
1.0,2.9490879999999997,3.5218239999999996,3.1073440000000003
1.0,2.790832,3.280672,2.856144
1.0,3.119904,3.300768,3.109856
1.0,3.180192,3.5720639999999997,3.14
1.0,3.0470560000000004,3.3409600000000004,3.220384
1.0,2.984256,3.3409600000000004,2.971696
1.0,2.826,3.1600960000000002,2.846096
1.0,3.170144,3.396224,2.805904
1.0,3.0143999999999997,3.222896,2.878752
1.0,3.087248,3.187728,3.117392
1.0,2.971696,3.318352,3.0420320000000003
1.0,3.368592,3.690128,3.672544
1.0,3.019424,3.310816,3.232944
1.0,3.232944,3.438928,2.928992
1.0,3.119904,3.418832,2.8084160000000002
1.0,2.971696,3.2781599999999997,2.672768
1.0,2.966672,3.3083039999999997,2.826
1.0,2.755664,3.4916799999999997,3.2781599999999997
1.0,2.9465760000000003,3.295744,3.059616
1.0,2.871216,3.119904,2.8687039999999997
1.0,3.0294719999999997,3.3711040000000003,2.7983680000000004
1.0,2.90136,3.2429919999999997,2.9139199999999996
